CRN,Subject,Course,INSM Code,Schedule Code,Description,Hrs,Start Date,Days,Begin,End,Building,Room,Instructor,Available Seats,Total Seats
1567,HS,0350,TRAD,CLS,Fund of Organizational Mgmt,3,01/12/2026,"M,W,F",1000,1050,PLASTR,102,Myers,10,10
1515,HS,0355,INET,DLR,Hlthcare Quality/Patient Sfty,3,01/12/2026,TBA,null,null,TBA,TBA,Foote,40,40
1516,HS,0360,INET,DLR,Health Policy,3,01/12/2026,TBA,null,null,TBA,TBA,McBride,40,40
1233,HS,0365,TRAD,CLS,Health Communication,3,01/12/2026,"M,W,F",1000,1050,WEBSTR,305,Slavings,25,25
1917,HS,0370,INET,DLR,Environmental Health & Safety,3,01/12/2026,TBA,null,null,ONLINE,TBA,Newcomb,5,5
1920,HS,0380,INET,DLR,Epidemiology,3,01/12/2026,TBA,null,null,ONLINE,TBA,Welicky,5,5
1517,HS,0390,INET,DLR,Health Care Systems,3,01/12/2026,TBA,null,null,TBA,TBA,Brown,40,40
1518,HS,0420,INET,DLR,Healthcare Management,2,01/12/2026,TBA,null,null,TBA,TBA,Bokker,40,40
1519,HS,0481,INDV,INT,Healthcare Ldrship Internship,3,01/12/2026,TBA,null,null,TBA,TBA,Brown,20,20
1520,HS,0482,TRAD,CLS,Healthcare Leadership,2,03/09/2026,T,0800,0940,LEONHS,154,Brown,20,20
1521,HS,0520,INET,GDL,HR Management in Healthcare,3,01/12/2026,TBA,null,null,TBA,TBA,Deringer,17,17
1522,HS,0530,INET,GDL,Managerial Epidemiology,3,03/09/2026,TBA,null,null,TBA,TBA,Deringer,17,17
1523,HS,0550,INET,GDL,HC Negotiation/Conflict Resolu,3,01/12/2026,TBA,null,null,TBA,TBA,Deringer,16,16
1365,IB,0310,TRAD,CLS,International Business,3,03/09/2026,"M,W,F",0800,0850,PLASTR,306,Baker,35,35
1366,IB,0310,INET,DLR,International Business,3,01/12/2026,TBA,null,null,ONLINE,TBA,Baker,35,35
1373,IB,0310,INET,DLR,International Business,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,35,35
1377,IB,0352,INET,DLR,Intl Human Resource Mgmt,3,01/12/2026,TBA,null,null,ONLINE,TBA,Ansell,35,35
1382,IB,0410,INET,DLR,International Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,35,35
1385,IB,0520,INET,GDL,Global Leadership,3,03/09/2026,TBA,null,null,ONLINE,TBA,Ansell,25,25
1964,IET,0105,HYBD,CMB,Professional Skills,3,01/12/2026,W,1730,1845,UMMEL,140,Pizarro,24,24
1966,IET,0115,HYBD,CMB,Engineering Graphics II,3,01/12/2026,M,1730,1920,UMMEL,139,Wilson,28,28
1967,IET,0230,INET,DLR,Excel/Visio Applications,2,01/12/2026,TBA,null,null,TBA,TBA,Pizarro,28,28
1968,IET,0235,INET,DLR,Power BI Fundamentals,1,03/09/2026,TBA,null,null,TBA,TBA,Pizarro,28,28
1969,IET,0271,SEMR,FCL,Engineering Tech Seminar I,0,01/12/2026,TBA,null,null,TBA,TBA,Wilson,50,50
1970,IET,0272,SEMR,FCL,Engineering Tech Seminar II,0,01/12/2026,TBA,null,null,TBA,TBA,Wilson,50,50
1971,IET,0300,INET,DLR,Engineering Economics,3,01/12/2026,TBA,null,null,TBA,TBA,Pizarro,28,28
1972,IET,0470,TRAD,CLS,Six Sigma Methodology,3,01/12/2026,T,1730,2020,UMMEL,139,Pizarro,28,28
1984,IET,0471,HYBD,CMB,Senior Design,3,01/12/2026,T,1545,1700,UMMEL,139,Pizarro,28,28
1991,IET,0494,TRAD,CLS,Career Success,1,01/12/2026,W,1000,1140,UMMEL,139,TBA,21,21
1409,INTS,0310,INET,DLR,"Food, Culture, and Society",3,01/12/2026,TBA,null,null,ONLINE,TBA,Carmichael,30,30
1410,INTS,0370,INET,DLR,Globalization & Native People,3,01/12/2026,TBA,null,null,ONLINE,TBA,Greer,10,10
1543,ISEP,0300,INDV,SAB,ISEP Study Abroad,12,01/12/2026,TBA,null,null,TBA,TBA,Shriver,15,15
1544,ISEP,0300,INDV,SAB,ISEP Study Abroad,15,01/12/2026,TBA,null,null,TBA,TBA,Shriver,15,15
1161,JS,0522,INET,GDL,Seminar in Corrections,3,01/12/2026,TBA,null,null,ONLINE,TBA,Hulderman,15,15
1007,KINE,0101,TRAD,CLS,Beginning Yoga,1,01/12/2026,"T,R",0930,1045,BSC,TBA,Gray,20,20
1008,KINE,0101,TRAD,CLS,Intermediate Yoga,1,03/09/2026,"T,R",0930,1045,BSC,TBA,Gray,20,20
1009,KINE,0101,TRAD,CLS,Couch to 5K,1,01/12/2026,"T,R",1200,1315,BSC,TBA,Turner,20,20
1010,KINE,0101,TRAD,CLS,Tai Chi & Meditation,1,01/12/2026,"M,W",1300,1415,BSC,TBA,Browne,20,20
1011,KINE,0101,TRAD,CLS,Tai Chi & Meditation,1,03/09/2026,"M,W",1300,1415,BSC,TBA,Browne,20,20
1013,KINE,0103,INET,DLR,Lifetime Wellness,2,01/12/2026,TBA,null,null,TBA,TBA,Conklin,32,32
1014,KINE,0103,INET,DLR,Lifetime Wellness,2,01/12/2026,TBA,null,null,TBA,TBA,Conklin,32,32
1016,KINE,0103,INET,DLR,Lifetime Wellness,2,01/12/2026,TBA,null,null,TBA,TBA,Beck,32,32
1017,KINE,0103,INET,DLR,Lifetime Wellness,2,01/12/2026,TBA,null,null,TBA,TBA,Beck,32,32
1018,KINE,0103,INET,DLR,Lifetime Wellness,2,01/12/2026,TBA,null,null,TBA,TBA,Divine,32,32
1019,KINE,0103,INET,DLR,Lifetime Wellness,2,03/09/2026,TBA,null,null,TBA,TBA,Schiding,32,32
1020,KINE,0103,TRAD,CLS,Lifetime Wellness,2,01/12/2026,"M,W",1200,1250,LG-PLT,149,Benfield,32,32
1021,KINE,0103,TRAD,CLS,Lifetime Wellness,2,01/12/2026,"M,W",1300,1350,LG-PLT,149,Benfield,32,32
1023,KINE,0103,TRAD,CLS,Lifetime Wellness,2,01/12/2026,"T,R",1100,1150,LG-PLT,149,Dodson,32,32
1012,KINE,0116,TRAD,CLS,Intro Kine & Assessment,3,01/12/2026,"T,R",0930,1045,YOUNG,203,Schiding,24,24
1024,KINE,0220,HYBD,CMB,First Aid and Sport Safety,2,01/12/2026,"T,R",1100,1150,YOUNG,RQ6,Wolf,16,16
1025,KINE,0220,HYBD,CMB,First Aid and Sport Safety,2,03/09/2026,"T,R",1100,1150,YOUNG,RQ6,Wolf,16,16
1026,KINE,0240,HYBD,CMB,Prof Exploration Kinesiology,3,01/12/2026,"M,W,F",1100,1150,LG-PLT,149,Alasmar,24,24
1027,KINE,0252,TRAD,CLS,Team & Ind. Sports Instruction,3,01/12/2026,"M,W,F",1100,1215,YOUNG,203,Dodson,24,24
1028,KINE,0300,TRAD,CLS,Theory/Tech Strength Training,3,01/12/2026,"T,R",0930,1045,LG-PLT,149,Alasmar,16,16
1029,KINE,0321,TRAD,CLS,Theory & Tech Sec Phys Educ,3,01/12/2026,"T,R",1300,1415,YOUNG,203,Dodson,24,24
1788,KINE,0330,TRAD,CLS,Exercise Physiology,3,01/12/2026,"M,W",1100,1215,LG-PLT,150,Theiss,24,24
1030,KINE,0332,TRAD,CLS,Thry/Tech of Move & Rhythms,3,01/12/2026,"T,R",1100,1215,YOUNG,203,Schiding,24,24
1031,KINE,0340,TRAD,CLS,Motor Learning,3,01/12/2026,"T,R",0930,1045,HS,154,Dodson,24,24
1032,KINE,0345,TRAD,CLS,Statistics in Kinesiology,2,01/12/2026,"M,W",0900,0950,LG-PLT,150,Schiding,24,24
1033,KINE,0350,TRAD,CLS,Spts Academy Plan & Prep,2,01/12/2026,"M,W",1000,1050,LG-PLT,150,Schiding,24,24
1058,KINE,0367,HYBD,CMB,Socio-Psy Aspects of PE,3,01/12/2026,"M,W",1000,1050,LEONHS,154,Hartwell,24,24
1034,KINE,0370,TRAD,CLS,PE/Health Elem School Teacher,2,01/12/2026,"T,R",1300,1350,LG-PLT,149,Lawrence,20,20
1053,KINE,0375,TRAD,CLS,Physical Activity for Spec Pop,3,01/12/2026,"M,W,F",0900,0950,YOUNG,203,Dodson,24,24
1054,KINE,0380,TRAD,CLS,Research Methods Hlth & Ex Sci,3,01/12/2026,"M,W",0930,1045,LEONHS,152,Theiss,20,20
1057,KINE,0385,INET,DLR,Nutrition for Human Devp,3,01/12/2026,TBA,null,null,TBA,TBA,Cullers,32,32
1060,KINE,0432,TRAD,CLS,Physiology Exercise Laboratory,2,01/12/2026,W,1300,1500,LG-PLT,138,Theiss,16,16
1066,KINE,0440,TRAD,CLS,Exercise Special Populations,3,01/12/2026,"T,R",0930,1045,LG-PLT,150,Theiss,24,24
1192,KINE,0442,TRAD,CLS,Adv Biomech Anal Human Move,3,01/12/2026,"T,R",1100,1215,LG-PLT,150,Theiss,24,24
1190,KINE,0450,TRAD,CLS,Corrective Mvemt Assment PE,3,01/12/2026,"T,R",1300,1415,LG-PLT,150,Theiss,24,24
1191,KINE,0455,TRAD,CLS,Corrective Exercise Technique,3,01/12/2026,"T,R",1300,1415,LG-PLT,138,Alasmar,16,16
1065,KINE,0488,INET,DLR,Community Nutrition Lion Co-op,3,01/12/2026,TBA,null,null,TBA,TBA,Cullers,16,16
1683,MATH,0020,TRAD,CLS,Beginning Algebra,3,01/12/2026,"M,W,F",0900,0950,NIXON,109,Coltharp,40,40
1684,MATH,0020,TRAD,CLS,Beginning Algebra,3,01/12/2026,"M,W,F",1000,1050,NIXON,108,Coltharp,40,40
1685,MATH,0020,TRAD,CLS,Beginning Algebra,3,01/12/2026,"T,R",0930,1045,NIXON,108,Miller,40,40
1686,MATH,0020,INET,DLR,Beginning Algebra,3,01/12/2026,TBA,null,null,ONLINE,TBA,Miller,40,40
1689,MATH,0030,TRAD,CLS,Intermediate Algebra,3,01/12/2026,"M,W,F",0900,0950,NIXON,108,Miller,40,40
1690,MATH,0030,TRAD,CLS,Intermediate Algebra,3,01/12/2026,"M,W,F",1200,1250,NIXON,108,Coltharp,40,40
1691,MATH,0030,INET,DLR,Intermediate Algebra,3,01/12/2026,TBA,null,null,ONLINE,TBA,Appuhamy,40,40
1693,MATH,0119,INET,DLR,Math for Elementary Teachers I,3,01/12/2026,TBA,null,null,ONLINE,TBA,Coltharp,40,40
1694,MATH,0120,INET,DLR,Math for Elem Teachers II,3,01/12/2026,TBA,null,null,ONLINE,TBA,Coltharp,40,40
1695,MATH,0125,TRAD,CLS,Contemporary Mathematics,3,01/12/2026,"M,W,F",1000,1050,NIXON,109,Appuhamy,40,40
1696,MATH,0125,TRAD,CLS,Contemporary Mathematics,3,01/12/2026,"M,W,F",1100,1150,NIXON,108,Boswell,40,40
1697,MATH,0125,TRAD,CLS,Contemporary Mathematics,3,01/12/2026,"T,R",1100,1215,NIXON,109,Boswell,40,40
1698,MATH,0125,INET,DLR,Contemporary Mathematics,3,01/12/2026,TBA,null,null,ONLINE,TBA,Boswell,40,40
1700,MATH,0130,TRAD,CLS,College Algebra,3,01/12/2026,"M,W,F",1000,1050,NIXON,210,Boswell,40,40
1701,MATH,0130,TRAD,CLS,College Algebra,3,01/12/2026,"M,W,F",1300,1350,NIXON,108,Miller,40,40
1702,MATH,0130,INET,DLR,College Algebra,3,01/12/2026,TBA,null,null,ONLINE,TBA,Curtis,40,40
1704,MATH,0135,TRAD,CLS,Trigonometry,3,01/12/2026,"M,W,F",1200,1250,NIXON,109,Curtis,35,35
1705,MATH,0135,INET,DLR,Trigonometry,3,01/12/2026,TBA,null,null,ONLINE,TBA,Appuhamy,40,40
1706,MATH,0150,TRAD,CLS,Calculus/Analytic Geometry I,5,01/12/2026,"M,T,W,R,F",1100,1150,NIXON,210,Curtis,35,35
1707,MATH,0250,TRAD,CLS,Calculus/Analytic Geometry II,4,01/12/2026,"M,T,R,F",1100,1150,NIXON,211,Appuhamy,35,35
1708,MATH,0300,TRAD,CLS,Fund of Mathematical Thought,3,01/12/2026,"M,W,F",1300,1350,NIXON,109,Boswell,35,35
1709,MATH,0302,INET,DLR,Applied Calculus,3,01/12/2026,TBA,null,null,ONLINE,TBA,Appuhamy,40,40
1710,MATH,0310,INET,DLR,Elementary Statistics,3,01/12/2026,TBA,null,null,ONLINE,TBA,Johnson,35,35
1711,MATH,0310,INET,DLR,Elementary Statistics,3,01/12/2026,TBA,null,null,ONLINE,TBA,Johnson,40,40
1712,MATH,0371,TRAD,CLS,Intro to Operations Research,3,01/12/2026,"M,W,F",1200,1250,NIXON,211,Appuhamy,10,10
1716,MATH,0526,INET,GDL,Statistical Analysis,3,01/12/2026,TBA,null,null,ONLINE,TBA,Johnson,20,20
1960,MET,0200,HYBD,CMB,Computer Numerical Control,3,01/12/2026,T,1100,1250,UMMEL,121,Wilson,16,16
1961,MET,0240,TRAD,LLB,Engineering Materials,3,01/12/2026,W,1000,1150,UMMEL,140,Wilson,16,16
1961,MET,0240,TRAD,LLB,Engineering Materials,3,01/12/2026,M,1000,1150,UMMEL,140,Wilson,16,16
1367,MGMT,0237,TRAD,CLS,Using Information Systems,3,01/12/2026,"T,R",0800,0915,PLASTR,303,Yantis,30,30
1368,MGMT,0237,INET,DLR,Using Information Systems,3,01/12/2026,TBA,null,null,ONLINE,TBA,Dawson,35,35
1369,MGMT,0237,INET,DLR,Using Information Systems,3,01/12/2026,TBA,null,null,ONLINE,TBA,Dawson,35,35
1370,MGMT,0245,INET,DLR,Intro to Supply Chain Mgmt,3,01/12/2026,TBA,null,null,ONLINE,TBA,Cheon,35,35
1371,MGMT,0337,INET,DLR,Management Information Systems,3,01/12/2026,TBA,null,null,ONLINE,TBA,Finley,35,35
1372,MGMT,0350,HYBD,CMB,Fund of Organizational Mgmt,3,03/09/2026,"T,R",0800,0915,PLASTR,102,TBA,25,25
1559,MGMT,0350,INET,DLR,Fund of Organizational Mgmt,3,01/12/2026,TBA,null,null,ONLINE,TBA,Myers,25,25
1562,MGMT,0350,INET,DLR,Fund of Organizational Mgmt,3,01/12/2026,TBA,null,null,ONLINE,TBA,Myers,25,25
1566,MGMT,0350,TRAD,CLS,Fund of Organizational Mgmt,3,01/12/2026,"M,W,F",1000,1050,PLASTR,102,Myers,25,25
1374,MGMT,0352,TRAD,CLS,Human Resources Management,3,01/12/2026,"T,R",0800,0915,PLASTR,323,Holtzen,35,35
1375,MGMT,0352,INET,DLR,Human Resources Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,35,35
1376,MGMT,0354,INET,DLR,Quality Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,Myers,35,35
1378,MGMT,0365,TRAD,CLS,Logistics Trans & Distribution,3,01/12/2026,TBA,null,null,TBA,TBA,TBA,35,35
1379,MGMT,0411,INET,DLR,Employment Law,3,01/12/2026,TBA,null,null,ONLINE,TBA,Lonardo,35,35
1380,MGMT,0425,INET,DLR,Business Analytics & Modeling,3,01/12/2026,TBA,null,null,ONLINE,TBA,Cheon,35,35
1381,MGMT,0431,INET,DLR,Operations Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,Cheon,35,35
1383,MGMT,0441,TRAD,CLS,Organizational Behavior,3,01/12/2026,"M,W,F",1000,1050,PLASTR,323,TBA,35,35
1384,MGMT,0441,INET,DLR,Organizational Behavior,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,35,35
1386,MGMT,0443,INET,DLR,Organizational Staffing,3,01/12/2026,TBA,null,null,ONLINE,TBA,Holtzen,35,35
1387,MGMT,0452,INET,DLR,Strategic Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,Carson,35,35
1388,MGMT,0452,INET,DLR,Strategic Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,Carson,35,35
1389,MGMT,0452,TRAD,CLS,Strategic Management,3,01/12/2026,"T,R",1100,1215,PLASTR,323,Carson,35,35
1390,MGMT,0491,INDV,INT,Internship in Management,1,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1391,MGMT,0491,INDV,INT,Internship in Management,2,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1392,MGMT,0491,INDV,INT,Internship in Management,3,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1393,MGMT,0491,INDV,INT,Internship in Management,4,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1394,MGMT,0491,INDV,INT,Internship in Management,5,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1871,MGMT,0505,INET,GDL,Business Law and Ethics,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,25,25
1958,MGMT,0552,INET,GDL,Strategic Mgmt. & Bus. Policy,3,03/09/2026,TBA,null,null,ONLINE,TBA,Carson,25,25
2053,MGMT,0552,INET,GDL,Strategic Mgmt. & Bus. Policy,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,25,25
1542,MOLP,0300,INDV,SAB,Missouri London Pro,12,01/12/2026,TBA,null,null,TBA,TBA,Shriver,10,10
1305,MRKT,0300,INET,DLR,Principles of Marketing,3,01/12/2026,TBA,null,null,ONLINE,TBA,Subedi,35,35
1329,MRKT,0300,INET,DLR,Principles of Marketing,3,01/12/2026,TBA,null,null,ONLINE,TBA,Subedi,35,35
1341,MRKT,0300,HYBD,CMB,Principles of Marketing,3,03/09/2026,"M,W,F",0900,0950,PLASTR,323,Buccieri,35,35
1347,MRKT,0312,TRAD,CLS,Retail Management,3,01/12/2026,"M,W,F",0900,0950,PLASTR,318,Baker,28,28
1348,MRKT,0321,INET,DLR,Professional Sales,3,01/12/2026,TBA,null,null,ONLINE,TBA,TBA,35,35
1352,MRKT,0401,TRAD,CLS,Integrated Mktng Communication,3,01/12/2026,"M,W,F",1000,1050,PLASTR,318,Baker,28,28
1356,MRKT,0405,INET,DLR,Digital Marketing,3,01/12/2026,TBA,null,null,ONLINE,TBA,Baker,35,35
1357,MRKT,0406,INET,DLR,Social Media Marketing,3,01/12/2026,TBA,null,null,ONLINE,TBA,Yantis,35,35
1359,MRKT,0432,TRAD,CLS,Consumer Behavior,3,01/12/2026,"T,R",0930,1045,PLASTR,323,Subedi,35,35
1360,MRKT,0470,INET,DLR,Marketing Research,3,01/12/2026,TBA,null,null,ONLINE,TBA,Subedi,35,35
1361,MRKT,0472,TRAD,CLS,Marketing Strategy,3,01/12/2026,"M,W,F",1100,1150,PLASTR,323,Buccieri,35,35
1362,MRKT,0491,INDV,INT,Internship in Marketing,1,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1363,MRKT,0491,INDV,INT,Internship in Marketing,2,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1364,MRKT,0491,INDV,INT,Internship in Marketing,3,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1959,MRKT,0573,INET,GDL,Marketing and Communication,3,03/09/2026,TBA,null,null,ONLINE,TBA,Buccieri,25,25
1754,MT,0402,SITE,CLN,Clinical Microscopy,1,01/12/2026,TBA,null,null,TBA,TBA,Donelson,4,4
1755,MT,0404,SITE,CLN,Clinical Serology-Immunology,3,01/12/2026,TBA,null,null,TBA,TBA,Donelson,4,4
1756,MT,0405,SITE,CLN,Clinical Microbiology,7,01/12/2026,TBA,null,null,TBA,TBA,Donelson,4,4
1757,MT,0406,SITE,CLN,Clin Immunohematology-Bld Bnk,3,01/12/2026,TBA,null,null,TBA,TBA,Donelson,4,4
1758,MT,0407,SITE,CLN,Special Topics Medical Tech,2,01/12/2026,TBA,null,null,TBA,TBA,Donelson,4,4
1759,MUS,0100,INET,DLR,Fundamentals of Music,3,01/12/2026,TBA,null,null,TBA,TBA,Bready,30,30
1760,MUS,0101,TRAD,CLS,Jazz Styles & Appreciation,3,01/12/2026,"T,R",0930,1045,FINART,208,Schneider,30,30
1761,MUS,0104,TRAD,CLS,Class Piano II,1,01/12/2026,"T,R",null,null,FINART,106,Nenadal,8,8
1762,MUS,0104,TRAD,CLS,Class Piano II,1,01/12/2026,"M,W",0800,0850,TBA,TBA,Nenadal,8,8
1763,MUS,0105,TRAD,CLS,Voice Class,1,01/12/2026,"T,R",1000,1050,FINART,108,King,20,20
1764,MUS,0106,INET,DLR,World Music,3,01/12/2026,TBA,null,null,TBA,TBA,Cotter,30,30
1765,MUS,0110,INET,DLR,Music Appreciation,3,03/09/2026,TBA,null,null,TBA,TBA,Cotter,30,30
1766,MUS,0112,TRAD,CLS,Music Theory II: Adv Mus&Aural,3,01/12/2026,"M,W,F",0900,0950,FINART,208,Spencer,30,30
1767,MUS,0116,INDV,PLS,Applied Performance: Brass,1,01/12/2026,TBA,null,null,TBA,TBA,Schaedler,12,12
1768,MUS,0116,INDV,PLG,Applied Performance: Brass,2,01/12/2026,TBA,null,null,FINART,TBA,Schaedler,12,12
1769,MUS,0116,INDV,PLS,Applied Performance: Brass,1,01/12/2026,TBA,null,null,FINART,TBA,Cooper,12,12
1770,MUS,0116,INDV,PLG,Applied Performance: Brass,2,01/12/2026,TBA,null,null,FINART,TBA,Cooper,12,12
1771,MUS,0116,INDV,PLS,Applied Performance: Brass,1,01/12/2026,TBA,null,null,FINART,TBA,Hodges,12,12
1772,MUS,0116,INDV,PLG,Applied Performance: Brass,2,01/12/2026,TBA,null,null,FINART,TBA,Cooper,12,12
1773,MUS,0119,TRAD,FCL,Southern Symphonic Chorus,1,02/02/2026,R,1900,2100,FINART,208,Bready,20,20
1774,MUS,0120,TRAD,CLS,History of Rock & Roll Music,3,01/12/2026,"T,R",1100,1215,FINART,108,Cotter,26,26
1775,MUS,0121,INDV,FCL,Concert Chorale,1,01/12/2026,"M,W,F",1200,1250,FINART,208,Bready,40,40
1776,MUS,0123,INDV,FCL,Chamber Singers,1,01/12/2026,"M,W,F",1300,1350,FINART,208,Bready,20,20
1777,MUS,0126,INDV,PLS,Applied Performance: Keyboard,1,01/12/2026,TBA,null,null,FINART,TBA,Nenadal,20,20
1778,MUS,0126,INDV,PLG,Applied Performance: Keyboard,2,01/12/2026,TBA,null,null,FINART,TBA,Nenadal,20,20
1779,MUS,0136,INDV,PLS,Applied Performance Percussion,1,01/12/2026,TBA,null,null,FINART,TBA,Milzarek,12,12
1780,MUS,0136,INDV,PLG,Applied Performance Percussion,2,01/12/2026,TBA,null,null,FINART,TBA,Milzarek,12,12
1781,MUS,0141,INDV,FCL,Jazz Orchestra,1,01/12/2026,"T,R",1100,1215,FINART,222,Schneider,25,25
1782,MUS,0151,INDV,FCL,Orchestra,1,01/12/2026,M,1900,2100,FINART,222,Hodges,20,20
1783,MUS,0156,INDV,PLS,Applied Performance: Woodwind,1,01/12/2026,TBA,null,null,FINART,TBA,Cotter,12,12
1784,MUS,0156,INDV,PLG,Applied Performance: Woodwind,2,01/12/2026,TBA,null,null,FINART,TBA,Cotter,12,12
1785,MUS,0156,INDV,PLS,Applied Performance: Woodwind,1,01/12/2026,TBA,null,null,FINART,TBA,Spencer,12,12
1786,MUS,0156,INDV,PLG,Applied Performance: Woodwind,2,01/12/2026,TBA,null,null,FINART,TBA,Spencer,12,12
1850,MUS,0166,INDV,PLS,Applied Performance Voice,1,01/12/2026,TBA,null,null,FINART,TBA,Allan,12,12
1851,MUS,0166,INDV,PLG,Applied Performance Voice,2,01/12/2026,TBA,null,null,FINART,TBA,Allan,12,12
1853,MUS,0166,INDV,PLS,Applied Performance Voice,1,01/12/2026,TBA,null,null,FINART,TBA,Bready,12,12
1854,MUS,0166,INDV,PLG,Applied Performance Voice,2,01/12/2026,TBA,null,null,FINART,TBA,Bready,12,12
1855,MUS,0166,INDV,PLS,Applied Performance Voice,1,01/12/2026,TBA,null,null,FINART,TBA,King,12,12
1856,MUS,0166,INDV,PLG,Applied Performance Voice,2,01/12/2026,TBA,null,null,FINART,TBA,King,12,12
1857,MUS,0171,INDV,PLS,Chamber Brass,1,01/12/2026,TBA,null,null,FINART,TBA,Cooper,12,12
1858,MUS,0185,INDV,PLS,Chamber Winds,1,01/12/2026,TBA,null,null,FINART,TBA,Cotter,12,12
1860,MUS,0192,INDV,FCL,Concert Band,1,01/12/2026,"T,R",1415,1545,FINART,222,Schneider,40,40
1861,MUS,0212,TRAD,CLS,Music Theory IV: Adv Harmony&,3,01/12/2026,"M,W,F",1000,1050,FINART,208,Cooper,30,30
1864,MUS,0312,TRAD,CLS,History of Music&Literature II,3,01/12/2026,"T,R",0800,0950,FINART,108,Cotter,30,30
1935,MUS,0316,INDV,PLS,Adv. Applied Performance:Brass,1,01/12/2026,TBA,null,null,FINART,TBA,Cooper,12,12
1936,MUS,0316,INDV,PLG,Adv. Applied Performance:Brass,2,01/12/2026,TBA,null,null,FINART,TBA,Cooper,12,12
1937,MUS,0316,INDV,PLS,Adv. Applied Performance:Brass,1,01/12/2026,TBA,null,null,FINART,TBA,Schaedler,12,12
1939,MUS,0316,INDV,PLG,Adv. Applied Performance:Brass,2,01/12/2026,TBA,null,null,FINART,TBA,Schaedler,12,12
1944,MUS,0316,INDV,PLS,Adv. Applied Performance:Brass,1,01/12/2026,TBA,null,null,TBA,TBA,Hodges,12,12
1947,MUS,0316,INDV,PLG,Adv. Applied Performance:Brass,2,01/12/2026,TBA,null,null,TBA,TBA,Hodges,12,12
1950,MUS,0319,INDV,FCL,Southern Symphonic Chorus,1,02/02/2026,R,1900,2100,FINART,208,Bready,20,20
1954,MUS,0321,INDV,FCL,Concert Chorale,1,01/12/2026,"M,W,F",1200,1250,FINART,208,Bready,40,40
1956,MUS,0323,INDV,FCL,Chamber Singers,1,01/12/2026,"M,W,F",1300,1350,FINART,208,Bready,40,40
1973,MUS,0326,INDV,PLS,Adv. App. Performance:Keyboard,1,01/12/2026,TBA,null,null,FINART,TBA,Nenadal,20,20
1974,MUS,0326,INDV,PLG,Adv. App. Performance:Keyboard,2,01/12/2026,TBA,null,null,FINART,TBA,Nenadal,20,20
1975,MUS,0332,TRAD,CLS,Music for Elementary School,1,01/12/2026,"M,W,F",0800,0850,FINART,208,Spencer,30,30
1976,MUS,0332,INET,DLR,Music for Elementary School,1,01/12/2026,TBA,null,null,TBA,TBA,Spencer,30,30
1977,MUS,0336,INDV,PLS,Adv App Performance:Percussion,1,01/12/2026,TBA,null,null,FINART,TBA,Milzarek,12,12
1978,MUS,0336,INDV,PLG,Adv App Performance:Percussion,2,01/12/2026,TBA,null,null,FINART,TBA,Milzarek,12,12
1979,MUS,0341,INDV,FCL,Jazz Orchestra,1,01/12/2026,"T,R",1100,1215,FINART,222,Schneider,25,25
1980,MUS,0350,INDV,PLS,Junior Recital,1,01/12/2026,TBA,null,null,TBA,TBA,Allan,8,8
1981,MUS,0350,INDV,PLS,Junior Recital,1,01/12/2026,TBA,null,null,TBA,TBA,Cotter,8,8
1982,MUS,0350,INDV,PLS,Junior Recital,1,01/12/2026,TBA,null,null,TBA,TBA,Hodges,8,8
1983,MUS,0350,INDV,PLS,Junior Recital,1,01/12/2026,TBA,null,null,TBA,TBA,King,8,8
1985,MUS,0350,INDV,PLS,Junior Recital,1,01/12/2026,TBA,null,null,TBA,TBA,Spencer,8,8
1986,MUS,0351,INDV,FCL,Orchestra,1,01/12/2026,M,1900,2100,FINART,222,Hodges,20,20
1987,MUS,0356,INDV,PLS,Adv App Performance: Woodwind,1,01/12/2026,TBA,null,null,FINART,TBA,Cotter,12,12
1988,MUS,0356,INDV,PLG,Adv App Performance: Woodwind,2,01/12/2026,TBA,null,null,FINART,TBA,Cotter,12,12
1989,MUS,0356,INDV,PLS,Adv App Performance: Woodwind,1,01/12/2026,TBA,null,null,FINART,TBA,Spencer,12,12
1990,MUS,0356,INDV,PLG,Adv App Performance: Woodwind,2,01/12/2026,TBA,null,null,FINART,TBA,Spencer,12,12
1992,MUS,0366,INDV,PLS,Adv. App. Performance: Voice,1,01/12/2026,TBA,null,null,FINART,TBA,Allan,12,12
