CRN,Subject,Course,INSM Code,Schedule Code,Description,Hrs,Start Date,Days,Begin,End,Building,Room,Instructor,Available Seats,Total Seats
1044,ENG,0101,INET,DLR,College Composition I (WI),3,01/12/2026,TBA,null,null,TBA,TBA,Moss,25,25
1045,ENG,0102,TRAD,CLS,College Composition II (WI),3,01/12/2026,"M,W,F",0900,0950,KUHN,101,Beilfuss,25,25
1046,ENG,0102,TRAD,CLS,College Composition II (WI),3,01/12/2026,"M,W,F",1000,1050,KUHN,101,Beilfuss,25,25
1047,ENG,0102,TRAD,CLS,College Composition II (WI),3,01/12/2026,"T,R",0930,1045,KUHN,201,Casey,24,24
1048,ENG,0102,TRAD,CLS,College Composition II (WI),3,01/12/2026,"T,R",1300,1415,KUHN,101,TBA,25,25
1049,ENG,0102,TRAD,CLS,College Composition II (WI),3,01/12/2026,"M,W,F",1100,1150,KUHN,103,Lozano-Pittsley,25,25
1050,ENG,0102,TRAD,CLS,College Composition II (WI),3,01/12/2026,"M,W,F",1200,1250,TBA,TBA,Lozano-Pittsley,25,25
1055,ENG,0102,TRAD,CLS,College Composition II (WI),3,01/12/2026,"T,R",1100,1215,KUHN,103,Lozano-Pittsley,25,25
1056,ENG,0102,INET,DLR,College Composition II (WI),3,01/12/2026,TBA,null,null,TBA,TBA,Dow,25,25
1062,ENG,0102,INET,DLR,College Composition II (WI),3,01/12/2026,TBA,null,null,TBA,TBA,Anderson,25,25
1063,ENG,0102,INET,DLR,College Composition II (WI),3,01/12/2026,TBA,null,null,TBA,TBA,Anderson,25,25
1064,ENG,0202,TRAD,CLS,Writing & Research in English,3,01/12/2026,"M,W,F",0900,0950,TBA,TBA,TBA,25,25
1083,ENG,0240,INET,DLR,The Short Story,3,01/12/2026,TBA,null,null,TBA,TBA,Dow,25,25
1085,ENG,0240,INET,DLR,The Short Story,3,01/12/2026,TBA,null,null,TBA,TBA,Dow,25,25
1089,ENG,0250,TRAD,CLS,Introduction to Literature,3,01/12/2026,"T,R",1100,1215,KUHN,201,Casey,24,24
1092,ENG,0250,INET,DLR,Introduction to Literature,3,01/12/2026,TBA,null,null,TBA,TBA,Watson,25,25
1121,ENG,0253,HYBD,CMB,Women's Literature,3,01/12/2026,R,0800,0915,PLASTR,208,McGunigal,25,25
1125,ENG,0272,TRAD,CLS,British Lit 18th C - Present,3,01/12/2026,"T,R",0930,1045,KUHN,210,Gates,25,25
1126,ENG,0281,TRAD,CLS,American Lit Beginning-19th C,3,01/12/2026,W,1430,1700,PLASTR,208,McGunigal,25,25
1436,ENG,0281,TRAD,CLS,American Lit Begin-19th C HN,3,01/12/2026,"T,R",1100,1215,LBRARY,102D,Howarth,15,15
1128,ENG,0282,TRAD,CLS,American Lit 19th C - Present,3,01/12/2026,"M,W,F",1100,1150,KUHN,102,Beilfuss,25,25
1130,ENG,0312,HYBD,CMB,Advanced Professional Writing,3,01/12/2026,"M,W",1200,1250,KUHN,210,Gates,25,25
1193,ENG,0313,HYBD,CMB,Technical Writing,3,01/12/2026,"M,W",1100,1150,LBRARY,102D,Jensen,24,24
1194,ENG,0317,TRAD,CLS,Creative Writing: Fiction,3,01/12/2026,"T,R",1100,1215,KUHN,210,Dow,25,25
1195,ENG,0330,TRAD,CLS,Young Adult Literature,3,01/12/2026,"T,R",1300,1415,LBRARY,102D,Howarth,24,24
1197,ENG,0371,TRAD,CLS,British Lit: Race in MA & R,3,01/12/2026,"M,W,F",1000,1050,KUHN,102,Kuhn,25,25
1198,ENG,0381,TRAD,CLS,American Lit: Cormac McCarthy,3,01/12/2026,"M,W,F",1300,1350,KUHN,102,Beilfuss,25,25
1196,ENG,0400,TRAD,CLS,History of English Language,3,01/12/2026,"M,W,F",1400,1450,KUHN,101,Kuhn,25,25
1201,ENG,0491,INDV,INT,Internship in English,3,01/12/2026,TBA,null,null,TBA,TBA,TBA,15,15
1202,ENG,0495,TRAD,CLS,Senior Seminar,3,01/12/2026,"T,R",1430,1545,KUHN,102,Watson,15,15
1203,ENG,0498,TRAD,CLS,Video Game Writing,3,01/12/2026,"T,R",1300,1415,KUHN,201,Casey,15,15
1320,ENT,0200,INET,DLR,Entrepreneurship & Opportunity,3,01/12/2026,TBA,null,null,ONLINE,TBA,Woodmansee,35,35
1321,ENT,0350,INET,DLR,Small Business Management,3,01/12/2026,TBA,null,null,ONLINE,TBA,Yantis,35,35
1322,ENT,0435,TRAD,CLS,Business Planning New Ventures,3,01/12/2026,"M,W,F",1100,1150,PLASTR,318,Cravens,35,35
1324,ENT,0440,TRAD,CLS,Sr. Entrepreneurship Consult,3,01/12/2026,"M,W,F",1200,1250,PLASTR,318,Cravens,35,35
1325,ENT,0491,INDV,INT,Internship in Entrepreneurship,1,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1326,ENT,0491,INDV,INT,Internship in Entrepreneurship,2,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1328,ENT,0491,INDV,INT,Internship in Entrepreneurship,3,01/12/2026,TBA,null,null,TBA,TBA,TBA,5,5
1407,ESL,0084,TRAD,CLS,L4:  ESL Composition,3,01/12/2026,"T,R",0900,1045,WEBSTR,311,Carmichael,25,25
1408,ESL,0087,TRAD,CLS,L4:  Academic ESL Skills,3,01/12/2026,"M,W",1300,1415,WEBSTR,311,Carmichael,25,25
1405,ESL,0092,TRAD,CLS,L5: Adv Speaking & Listening,3,01/12/2026,"T,R",1100,1215,WEBSTR,311,Carmichael,20,20
1406,ESL,0093,TRAD,CLS,Level 5: Advanced Reading,3,01/12/2026,"M,W",1100,1215,WEBSTR,311,Carmichael,25,25
1330,FIN,0101,TRAD,CLS,Intro Personl Finance Planning,3,01/12/2026,"M,W,F",0900,0950,PLASTR,322,Bosompim,35,35
1331,FIN,0101,TRAD,CLS,Intro Personl Finance Planning,3,01/12/2026,"T,R",0930,1045,PLASTR,211,Alcorn,35,35
1332,FIN,0101,INET,DLR,Intro Personl Finance Planning,3,01/12/2026,TBA,null,null,ONLINE,TBA,Bosompim,35,35
